"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2008","European Union - 15 countries (1995-2004)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (19 countries)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Euro area (18 countries)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Belgium","Total","Total","Median equivalised net income","Purchasing power standard (PPS)","16,743",""
"2008","Belgium","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,166",""
"2008","Belgium","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Belgium","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,080",""
"2008","Belgium","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Belgium","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)","15,528",""
"2008","Belgium","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)","16,793",""
"2008","Belgium","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)","15,923",""
"2008","Belgium","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,862",""
"2008","Belgium","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)","16,742",""
"2008","Belgium","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)","16,574",""
"2008","Belgium","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)","16,157",""
"2008","Belgium","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,973",""
"2008","Belgium","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)","16,803",""
"2008","Belgium","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)","18,918",""
"2008","Belgium","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)","18,833",""
"2008","Belgium","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)","16,906",""
"2008","Belgium","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)","16,424",""
"2008","Belgium","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,787",""
"2008","Belgium","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)","13,420",""
"2008","Belgium","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,606",""
"2008","Belgium","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Belgium","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)","13,059",""
"2008","Belgium","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)","17,166",""
"2008","Belgium","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)","12,549",""
"2008","Bulgaria","Total","Total","Median equivalised net income","Purchasing power standard (PPS)","4,765",""
"2008","Bulgaria","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)","4,934",""
"2008","Bulgaria","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Bulgaria","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)","4,783",""
"2008","Bulgaria","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","Bulgaria","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)","4,238",""
"2008","Bulgaria","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)","4,630",""
"2008","Bulgaria","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)","4,826",""
